minute,clock,participantId,champion,team,x,y,zone,totalGold,currentGold,xp,level,laneCS,jungleCS,dmgToChamps_cum,dmgTaken_cum,dmgToChamps_delta,ccApplied_ms
0,00:00,1,Riven,100,603,611,blue_base,500,500,0,1,0,0,0,0,0,0
0,00:00,2,Ekko,100,662,285,blue_base,500,500,0,1,0,0,0,0,0,0
0,00:00,3,Locke,100,362,135,blue_base,500,500,0,1,0,0,0,0,0,0
0,00:00,4,Ashe,100,130,401,blue_base,500,500,0,1,0,0,0,0,0,0
0,00:00,5,Seraphine,100,298,675,blue_base,500,100,0,1,0,0,0,0,0,0
0,00:00,6,Shen,200,14103,14195,red_base,500,500,0,1,0,0,0,0,0,0
0,00:00,7,Diana,200,14426,14170,red_base,500,500,0,1,0,0,0,0,0,0
0,00:00,8,Sylas,200,14321,14673,red_base,500,500,0,1,0,0,0,0,0,0
0,00:00,9,Aphelios,200,14589,14454,red_base,500,500,0,1,0,0,0,0,0,0
0,00:00,10,Janna,200,14055,14493,red_base,500,100,0,1,0,0,0,0,0,0
1,01:00,1,Riven,100,1989,12065,top_lane,500,0,0,1,0,0,0,0,0,0
1,01:00,2,Ekko,100,8038,9856,red_jungle_top,650,150,13,1,0,0,325,298,325,3105
1,01:00,3,Locke,100,7383,7140,mid_lane,940,440,75,1,1,0,345,0,345,4174
1,01:00,4,Ashe,100,12059,2050,bot_lane,500,0,0,1,0,0,0,0,0,0
1,01:00,5,Seraphine,100,12484,1395,bot_lane,505,5,0,1,0,0,0,0,0,0
1,01:00,6,Shen,200,1752,12725,top_lane,500,0,0,1,0,0,0,0,0,0
1,01:00,7,Diana,200,11755,12592,red_jungle_top,500,50,0,1,0,0,210,671,210,0
1,01:00,8,Sylas,200,7614,7780,mid_lane,500,0,0,1,0,0,0,0,0,3339
1,01:00,9,Aphelios,200,13434,2648,bot_lane,505,5,0,1,0,0,0,0,0,0
1,01:00,10,Janna,200,13534,2620,bot_lane,500,0,0,1,0,0,0,0,0,0
2,02:00,1,Riven,100,5238,12189,red_jungle_top,613,113,248,1,0,0,936,886,936,2204
2,02:00,2,Ekko,100,4630,11976,red_jungle_top,897,397,456,2,0,6,963,1293,638,9518
2,02:00,3,Locke,100,5129,12418,red_jungle_top,1155,655,478,2,7,0,475,215,130,10451
2,02:00,4,Ashe,100,11700,2159,bot_lane,783,283,362,2,10,0,707,740,707,52505
2,02:00,5,Seraphine,100,11946,2016,bot_lane,689,189,362,2,1,0,267,461,267,11963
2,02:00,6,Shen,200,3494,13110,top_lane,770,270,412,2,6,0,685,1056,685,15465
2,02:00,7,Diana,200,7584,10957,red_jungle_top,710,260,53,1,0,0,324,1355,114,0
2,02:00,8,Sylas,200,5227,12396,red_jungle_top,1085,585,366,2,7,0,714,266,714,14895
2,02:00,9,Aphelios,200,12065,2286,bot_river,808,308,362,2,11,0,644,312,644,0
2,02:00,10,Janna,200,12356,2848,bot_river,684,184,362,2,1,0,412,776,412,8250
3,03:00,1,Riven,100,2662,13078,top_lane,885,385,744,3,9,0,936,979,0,10576
3,03:00,2,Ekko,100,2531,8211,blue_jungle_top,1214,364,791,3,0,14,963,1959,0,11923
