clock,t_s,action,itemId,by,goldGain
00:00,0,PURCHASED,3865,,
00:00,0,PURCHASED,3865,,
00:01,2,PURCHASED,1056,Sylas,
00:01,2,PURCHASED,2003,Sylas,
00:01,2,PURCHASED,2003,Sylas,
00:01,2,PURCHASED,1120,Shen,
00:01,2,PURCHASED,2003,Shen,
00:02,2,PURCHASED,3340,Sylas,
00:02,2,PURCHASED,1101,Ekko,
00:02,2,PURCHASED,3340,Shen,
00:02,2,PURCHASED,3340,Seraphine,
00:02,3,PURCHASED,3340,Ekko,
00:02,3,PURCHASED,2003,Seraphine,
00:02,3,PURCHASED,2003,Janna,
00:02,3,PURCHASED,2003,Ekko,
00:02,3,PURCHASED,2003,Janna,
00:03,3,PURCHASED,2003,Seraphine,
00:05,5,PURCHASED,1086,Ashe,
00:05,5,PURCHASED,2003,Ashe,
00:05,5,PURCHASED,2003,Ashe,
00:06,6,PURCHASED,1056,Locke,
00:06,7,PURCHASED,1103,Diana,
00:06,7,PURCHASED,3340,Locke,
00:07,7,PURCHASED,3340,Diana,
00:07,7,PURCHASED,2003,Locke,
00:07,7,PURCHASED,2003,Locke,
00:11,11,PURCHASED,1086,Aphelios,
00:11,11,PURCHASED,2003,Aphelios,
00:11,11,PURCHASED,2003,Aphelios,
00:21,21,PURCHASED,1055,Riven,
00:21,21,PURCHASED,2003,Riven,
00:58,58,DESTROYED,2003,Ekko,
01:22,83,DESTROYED,2003,Locke,
01:33,93,DESTROYED,2003,Janna,
01:33,94,DESTROYED,2003,Riven,
01:42,102,DESTROYED,2003,Shen,
01:50,110,DESTROYED,2003,Seraphine,
01:51,112,DESTROYED,2003,Janna,
01:53,114,DESTROYED,2003,Ashe,
02:01,121,DESTROYED,2010,Ashe,
02:04,124,DESTROYED,2010,Shen,
02:04,124,PURCHASED,1082,Ekko,
02:04,124,DESTROYED,2003,Ashe,
02:05,125,DESTROYED,3340,Ekko,
02:05,125,PURCHASED,3364,Ekko,
02:11,132,DESTROYED,2003,Sylas,
02:12,132,DESTROYED,2003,Aphelios,
02:14,134,DESTROYED,2003,Seraphine,
02:24,145,DESTROYED,2003,Sylas,
02:26,147,PURCHASED,1028,Shen,
02:33,154,PURCHASED,2003,Shen,
02:36,156,PURCHASED,1001,Locke,
02:36,156,PURCHASED,3070,Locke,
02:36,157,UNDO,3070->0,Locke,400
02:37,157,PURCHASED,1082,Locke,
02:49,169,PURCHASED,1001,Ashe,
02:54,175,PURCHASED,3020,Sylas,
02:57,178,DESTROYED,2151,Aphelios,
03:08,188,PURCHASED,3070,Seraphine,
03:22,203,PURCHASED,1083,Aphelios,
03:24,204,PURCHASED,1042,Aphelios,
03:37,217,PURCHASED,1001,Janna,
03:38,219,PURCHASED,1082,Janna,
04:20,261,DESTROYED,2010,Ashe,
04:23,263,PURCHASED,1026,Diana,
04:25,266,PURCHASED,2022,Diana,
04:44,285,DESTROYED,2003,Locke,
04:53,293,DESTROYED,2003,Shen,
04:53,294,DESTROYED,2010,Shen,
05:09,309,PURCHASED,1026,Ekko,
05:15,316,DESTROYED,1001,Ashe,
05:15,316,PURCHASED,3006,Ashe,
05:17,317,PURCHASED,1026,Locke,
