clock,t_s,killer,victim,assists,x,y,zone,bounty,shutdownBounty,killStreak,victim_allies_within_2500,victim_enemies_within_2500
00:43,44,Locke,Diana,Ekko,6541,9082,top_river,400,0,0,1,2
01:51,111,Sylas,Ekko,Shen|Diana,4630,11976,red_jungle_top,300,0,0,2,2
02:00,120,Sylas,Riven,Shen,5269,12128,red_jungle_top,300,0,1,2,2
02:45,165,Janna,Ashe,Aphelios,10418,1756,bot_lane,300,0,0,1,2
04:53,294,Diana,Ekko,,12123,4551,red_jungle_bot,300,0,0,0,3
05:04,304,Aphelios,Seraphine,Janna,10651,898,bot_lane,300,0,0,1,2
05:14,314,Sylas,Locke,,6556,6238,mid_lane,300,53,2,0,1
05:15,316,Locke,Sylas,,6698,6531,mid_lane,300,119,0,0,1
05:44,345,Riven,Shen,,4536,14010,top_lane,300,0,0,0,0
06:19,380,Locke,Sylas,Ekko,7777,7401,mid_lane,300,0,1,0,1
06:38,398,Diana,Locke,Janna,6251,6331,mid_lane,300,0,1,1,1
06:41,401,Ekko,Janna,Locke,7274,6577,mid_lane,300,22,0,1,1
08:42,522,Riven,Shen,,4066,13472,top_lane,310,0,1,0,2
09:46,587,Locke,Sylas,,7083,7120,mid_lane,320,0,0,0,1
09:50,590,Diana,Ashe,Aphelios|Janna,10065,1008,bot_lane,310,0,2,2,3
09:51,591,Ekko,Diana,Ashe|Seraphine,9692,891,bot_lane,310,0,1,0,3
10:50,651,Seraphine,Aphelios,Ekko|Ashe,12654,2558,bot_lane,310,0,0,2,3
10:53,654,Diana,Ekko,Aphelios|Janna,11673,2896,bot_river,320,134,0,2,3
10:57,658,Ashe,Diana,Ekko|Seraphine,12373,2495,bot_river,310,0,0,2,3
11:02,663,Ashe,Janna,Ekko|Seraphine,13807,3687,bot_lane,310,0,1,2,3
11:10,671,Locke,Sylas,,7572,7530,mid_lane,269,0,1,0,1
11:44,705,Riven,Shen,,4062,13670,top_lane,307,0,2,0,2
12:35,755,Locke,Sylas,Ekko|Seraphine,8751,7855,mid_lane,216,0,2,0,1
13:30,811,Ekko,Sylas,Locke,8510,6242,bot_river,123,0,0,1,0
14:43,884,Locke,Sylas,,13456,5832,bot_lane,119,0,3,1,1
15:04,904,Locke,Janna,,13471,8272,bot_lane,283,0,4,1,1
15:28,929,Ashe,Diana,Riven,7149,9058,top_river,340,0,2,1,0
15:52,952,Seraphine,Sylas,Ekko|Ashe,8372,8535,mid_lane,118,0,1,1,3
17:02,1023,Riven,Sylas,,13012,5842,bot_lane,116,0,3,0,2
17:28,1048,Ekko,Aphelios,Ashe,9280,9595,mid_lane,340,0,1,1,0
18:22,1103,Locke,Shen,,6866,12914,top_lane,360,0,5,0,0
18:53,1133,Ashe,Sylas,Riven|Ekko|Locke|Seraphine,8396,14100,top_lane,124,0,3,1,5
19:07,1147,Aphelios,Ekko,Shen|Sylas|Janna,12170,14212,red_jungle_top,360,154,0,3,3
19:13,1154,Diana,Seraphine,Shen|Aphelios|Janna,9854,14072,top_lane,330,33,0,4,4
20:24,1224,Locke,Diana,Ashe|Seraphine,9749,10266,mid_lane,360,0,6,2,0
21:19,1280,Ekko,Shen,Locke|Ashe|Seraphine,8125,10155,red_jungle_top,355,0,0,4,1
22:51,1372,Locke,Diana,Ekko|Seraphine,11847,7066,red_jungle_bot,370,0,7,0,1
23:27,1407,Locke,Sylas,Ashe|Seraphine,11276,10931,mid_lane,218,0,8,2,4
23:32,1412,Locke,Janna,Ashe|Seraphine,10572,11935,mid_lane,263,0,9,1,3
24:03,1443,Seraphine,Diana,Ekko|Locke|Ashe,12874,12711,red_jungle_bot,217,0,0,3,5
24:05,1445,Seraphine,Aphelios,Ekko|Locke,13136,12813,red_jungle_bot,360,0,1,1,5
