clock,t_s,event,detail,team,killer,x,y,lane
03:16,197,TURRET_PLATE_DESTROYED,PLATE,200,,13866,4505,BOT_LANE
03:59,239,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,13866,4505,BOT_LANE
05:14,315,TURRET_PLATE_DESTROYED,PLATE,100,Renekton,981,10441,TOP_LANE
06:06,366,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,10504,1029,BOT_LANE
06:44,405,TURRET_PLATE_DESTROYED,PLATE,200,,8955,8510,MID_LANE
07:45,466,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,10504,1029,BOT_LANE
09:16,556,TURRET_PLATE_DESTROYED,PLATE,200,,13866,4505,BOT_LANE
09:42,583,TURRET_PLATE_DESTROYED,PLATE,200,Viktor,8955,8510,MID_LANE
09:54,595,ELITE_MONSTER_KILL,HORDE,200,Ekko,5210,10424,
10:00,600,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,13866,4505,BOT_LANE
10:02,602,ELITE_MONSTER_KILL,HORDE,200,Ekko,4839,10227,
10:05,605,ELITE_MONSTER_KILL,HORDE,200,Ekko,4904,10467,
10:11,612,TURRET_PLATE_DESTROYED,PLATE,100,Renekton,981,10441,TOP_LANE
10:45,645,TURRET_PLATE_DESTROYED,PLATE,100,,10504,1029,BOT_LANE
11:12,672,TURRET_PLATE_DESTROYED,PLATE,200,Darius,4318,13875,TOP_LANE
11:33,694,TURRET_PLATE_DESTROYED,PLATE,200,Viktor,8955,8510,MID_LANE
12:15,735,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,13866,4505,BOT_LANE
12:15,735,BUILDING_KILL,TOWER_BUILDING/OUTER_TURRET,200,Kaisa,13866,4505,BOT_LANE
12:49,770,TURRET_PLATE_DESTROYED,PLATE,100,Renekton,981,10441,TOP_LANE
14:02,842,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,8955,8510,MID_LANE
14:42,882,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,981,10441,TOP_LANE
15:10,910,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,4318,13875,TOP_LANE
15:15,915,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,4318,13875,TOP_LANE
15:26,927,TURRET_PLATE_DESTROYED,PLATE,200,,4318,13875,TOP_LANE
15:35,935,TURRET_PLATE_DESTROYED,PLATE,200,,4318,13875,TOP_LANE
15:35,935,BUILDING_KILL,TOWER_BUILDING/OUTER_TURRET,200,Kaisa,4318,13875,TOP_LANE
15:46,947,ELITE_MONSTER_KILL,DRAGON/EARTH_DRAGON,100,Sylas,9837,4397,
16:09,970,TURRET_PLATE_DESTROYED,PLATE,200,Leona,8955,8510,MID_LANE
16:09,970,BUILDING_KILL,TOWER_BUILDING/OUTER_TURRET,200,Leona,8955,8510,MID_LANE
16:22,983,TURRET_PLATE_DESTROYED,PLATE,200,Viktor,13327,8226,BOT_LANE
16:44,1004,TURRET_PLATE_DESTROYED,PLATE,100,,5846,6396,MID_LANE
17:04,1024,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,9767,10113,MID_LANE
17:22,1042,TURRET_PLATE_DESTROYED,PLATE,200,Viktor,13327,8226,BOT_LANE
18:18,1099,TURRET_PLATE_DESTROYED,PLATE,200,,9767,10113,MID_LANE
18:18,1099,ELITE_MONSTER_KILL,RIFTHERALD,100,Sylas,4736,9926,
18:28,1108,TURRET_PLATE_DESTROYED,PLATE,100,Renekton,10504,1029,BOT_LANE
18:40,1121,TURRET_PLATE_DESTROYED,PLATE,100,,10504,1029,BOT_LANE
18:40,1121,BUILDING_KILL,TOWER_BUILDING/OUTER_TURRET,100,Renekton,10504,1029,BOT_LANE
19:00,1140,TURRET_PLATE_DESTROYED,PLATE,100,,6919,1483,BOT_LANE
19:03,1143,TURRET_PLATE_DESTROYED,PLATE,100,,6919,1483,BOT_LANE
19:04,1144,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,7943,13411,TOP_LANE
19:07,1147,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,7943,13411,TOP_LANE
19:08,1149,TURRET_PLATE_DESTROYED,PLATE,100,Renekton,6919,1483,BOT_LANE
19:27,1167,TURRET_PLATE_DESTROYED,PLATE,100,Nasus,5846,6396,MID_LANE
20:10,1211,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,7943,13411,TOP_LANE
20:14,1215,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,7943,13411,TOP_LANE
20:20,1220,TURRET_PLATE_DESTROYED,PLATE,200,Kaisa,7943,13411,TOP_LANE
20:20,1220,BUILDING_KILL,TOWER_BUILDING/INNER_TURRET,200,Kaisa,7943,13411,TOP_LANE
20:29,1229,TURRET_PLATE_DESTROYED,PLATE,200,,13327,8226,BOT_LANE
20:30,1230,TURRET_PLATE_DESTROYED,PLATE,100,,5846,6396,MID_LANE
20:50,1250,TURRET_PLATE_DESTROYED,PLATE,200,,9767,10113,MID_LANE
20:55,1255,TURRET_PLATE_DESTROYED,PLATE,200,Darius,9767,10113,MID_LANE
21:00,1260,ELITE_MONSTER_KILL,DRAGON/HEXTECH_DRAGON,200,Ekko,9837,4397,
21:00,1261,DRAGON_SOUL_GIVEN,Ocean,0,,,,
21:01,1261,TURRET_PLATE_DESTROYED,PLATE,200,Darius,9767,10113,MID_LANE
21:01,1261,BUILDING_KILL,TOWER_BUILDING/INNER_TURRET,200,Darius,9767,10113,MID_LANE
21:53,1313,TURRET_PLATE_DESTROYED,PLATE,200,Viktor,13327,8226,BOT_LANE
21:58,1318,TURRET_PLATE_DESTROYED,PLATE,200,Sylas,13327,8226,BOT_LANE
21:58,1318,BUILDING_KILL,TOWER_BUILDING/INNER_TURRET,200,Sylas,13327,8226,BOT_LANE
22:31,1352,TURRET_PLATE_DESTROYED,PLATE,100,Ekko,5846,6396,MID_LANE
22:38,1359,TURRET_PLATE_DESTROYED,PLATE,100,Ekko,5846,6396,MID_LANE
22:38,1359,BUILDING_KILL,TOWER_BUILDING/OUTER_TURRET,100,Ekko,5846,6396,MID_LANE
22:53,1373,TURRET_PLATE_DESTROYED,PLATE,100,,5048,4812,MID_LANE
24:37,1478,TURRET_PLATE_DESTROYED,PLATE,200,,11134,11207,MID_LANE
25:02,1503,ELITE_MONSTER_KILL,BARON_NASHOR,200,Ekko,5007,10471,
25:06,1507,TURRET_PLATE_DESTROYED,PLATE,100,,981,10441,TOP_LANE
25:06,1507,BUILDING_KILL,TOWER_BUILDING/OUTER_TURRET,100,,981,10441,TOP_LANE
26:02,1562,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,5048,4812,MID_LANE
26:02,1563,TURRET_PLATE_DESTROYED,PLATE,100,,5048,4812,MID_LANE
26:04,1565,TURRET_PLATE_DESTROYED,PLATE,100,Renekton,5048,4812,MID_LANE
26:06,1567,TURRET_PLATE_DESTROYED,PLATE,100,,5048,4812,MID_LANE
26:06,1567,BUILDING_KILL,TOWER_BUILDING/INNER_TURRET,100,Renekton,5048,4812,MID_LANE
26:11,1572,TURRET_PLATE_DESTROYED,PLATE,100,Seraphine,3651,3696,MID_LANE
26:12,1573,TURRET_PLATE_DESTROYED,PLATE,100,Seraphine,3651,3696,MID_LANE
26:14,1575,TURRET_PLATE_DESTROYED,PLATE,100,,3651,3696,MID_LANE
26:16,1576,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,3651,3696,MID_LANE
26:17,1578,TURRET_PLATE_DESTROYED,PLATE,100,Renekton,3651,3696,MID_LANE
26:17,1578,BUILDING_KILL,TOWER_BUILDING/BASE_TURRET,100,Renekton,3651,3696,MID_LANE
26:21,1582,BUILDING_KILL,INHIBITOR_BUILDING/,100,Ekko,3210,3217,MID_LANE
26:44,1605,ELITE_MONSTER_KILL,DRAGON/WATER_DRAGON,200,Ekko,10106,4673,
27:49,1669,TURRET_PLATE_DESTROYED,PLATE,100,Ekko,1512,6699,TOP_LANE
27:49,1669,TURRET_PLATE_DESTROYED,PLATE,100,Ekko,1512,6699,TOP_LANE
27:49,1670,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,1512,6699,TOP_LANE
27:50,1671,TURRET_PLATE_DESTROYED,PLATE,100,,1512,6699,TOP_LANE
27:53,1673,TURRET_PLATE_DESTROYED,PLATE,100,Ekko,1512,6699,TOP_LANE
27:53,1673,BUILDING_KILL,TOWER_BUILDING/INNER_TURRET,100,Ekko,1512,6699,TOP_LANE
28:42,1723,TURRET_PLATE_DESTROYED,PLATE,100,,1169,4287,TOP_LANE
28:46,1726,TURRET_PLATE_DESTROYED,PLATE,100,Ekko,1169,4287,TOP_LANE
28:47,1727,TURRET_PLATE_DESTROYED,PLATE,100,,1169,4287,TOP_LANE
28:49,1729,TURRET_PLATE_DESTROYED,PLATE,100,Ekko,1169,4287,TOP_LANE
28:50,1730,TURRET_PLATE_DESTROYED,PLATE,100,,1169,4287,TOP_LANE
28:50,1730,BUILDING_KILL,TOWER_BUILDING/BASE_TURRET,100,Jhin,1169,4287,TOP_LANE
28:57,1737,BUILDING_KILL,INHIBITOR_BUILDING/,100,Jhin,1172,3583,TOP_LANE
29:26,1766,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,6919,1483,BOT_LANE
29:27,1768,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,6919,1483,BOT_LANE
29:27,1768,BUILDING_KILL,TOWER_BUILDING/INNER_TURRET,100,Jhin,6919,1483,BOT_LANE
31:15,1875,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,4281,1253,BOT_LANE
31:16,1876,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,4281,1253,BOT_LANE
31:17,1877,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,4281,1253,BOT_LANE
31:21,1881,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,4281,1253,BOT_LANE
31:23,1883,TURRET_PLATE_DESTROYED,PLATE,100,Jhin,4281,1253,BOT_LANE
31:23,1883,BUILDING_KILL,TOWER_BUILDING/BASE_TURRET,100,Jhin,4281,1253,BOT_LANE
31:30,1890,BUILDING_KILL,INHIBITOR_BUILDING/,100,Jhin,3468,1230,BOT_LANE
31:35,1896,BUILDING_KILL,TOWER_BUILDING/NEXUS_TURRET,100,Nasus,2177,1807,MID_LANE
31:47,1907,BUILDING_KILL,TOWER_BUILDING/NEXUS_TURRET,100,Nasus,1748,2270,MID_LANE
