clock,t_s,champion,skillSlot,levelUpType
00:14,15,Darius,2,NORMAL
00:17,17,Nasus,1,NORMAL
00:29,29,Seraphine,3,NORMAL
00:44,44,Sylas,3,NORMAL
00:50,50,Leona,1,NORMAL
00:50,50,Viktor,1,NORMAL
00:52,52,Ekko,1,NORMAL
01:00,60,Renekton,1,NORMAL
01:02,63,Kaisa,1,NORMAL
01:03,64,Jhin,1,NORMAL
01:18,79,Ekko,3,NORMAL
01:23,83,Sylas,1,NORMAL
01:29,90,Viktor,3,NORMAL
01:39,99,Renekton,3,NORMAL
01:42,103,Kaisa,2,NORMAL
01:42,103,Leona,3,NORMAL
01:45,106,Seraphine,1,NORMAL
01:45,106,Jhin,2,NORMAL
01:47,108,Nasus,3,NORMAL
01:48,108,Darius,1,NORMAL
01:56,116,Ekko,2,NORMAL
02:03,123,Renekton,2,NORMAL
02:05,126,Nasus,1,NORMAL
02:08,128,Sylas,2,NORMAL
02:10,131,Seraphine,2,NORMAL
02:10,131,Jhin,1,NORMAL
02:13,134,Viktor,3,NORMAL
02:20,141,Darius,3,NORMAL
02:38,159,Kaisa,3,NORMAL
02:43,163,Viktor,2,NORMAL
02:47,168,Renekton,1,NORMAL
02:54,175,Ekko,1,NORMAL
02:55,175,Nasus,2,NORMAL
03:18,198,Sylas,2,NORMAL
03:31,211,Darius,1,NORMAL
03:32,213,Kaisa,1,NORMAL
03:44,225,Renekton,1,NORMAL
03:52,233,Leona,2,NORMAL
04:18,258,Viktor,3,NORMAL
04:22,262,Ekko,1,NORMAL
04:31,271,Nasus,1,NORMAL
04:48,289,Renekton,4,NORMAL
04:54,294,Sylas,2,NORMAL
04:57,298,Kaisa,1,NORMAL
05:05,306,Jhin,3,NORMAL
05:10,310,Darius,1,NORMAL
05:12,312,Seraphine,1,NORMAL
05:17,317,Viktor,4,NORMAL
06:10,371,Renekton,1,NORMAL
06:12,372,Darius,4,NORMAL
06:17,377,Leona,2,NORMAL
06:24,385,Kaisa,4,NORMAL
06:25,386,Sylas,4,NORMAL
06:27,387,Nasus,4,NORMAL
06:36,396,Viktor,3,NORMAL
07:06,427,Seraphine,1,NORMAL
07:09,430,Viktor,3,EVOLVE
07:11,432,Jhin,1,NORMAL
07:36,456,Renekton,3,NORMAL
07:49,469,Darius,1,NORMAL
07:50,470,Ekko,1,NORMAL
08:05,486,Ekko,4,NORMAL
08:09,490,Sylas,2,NORMAL
08:10,491,Jhin,4,NORMAL
08:15,495,Nasus,1,NORMAL
08:17,497,Viktor,1,NORMAL
08:26,507,Leona,2,NORMAL
08:45,525,Kaisa,1,NORMAL
09:30,571,Sylas,3,NORMAL
09:34,575,Darius,3,NORMAL
09:40,581,Ekko,3,NORMAL
09:40,581,Viktor,3,NORMAL
09:49,590,Renekton,1,NORMAL
10:01,602,Nasus,2,NORMAL
10:02,602,Seraphine,4,NORMAL
10:14,614,Kaisa,3,NORMAL
10:17,618,Jhin,1,NORMAL
10:53,654,Leona,4,NORMAL
11:19,680,Sylas,2,NORMAL
11:37,698,Jhin,2,NORMAL
11:40,700,Renekton,3,NORMAL
11:46,706,Nasus,1,NORMAL
11:57,718,Viktor,1,NORMAL
11:57,718,Darius,1,NORMAL
12:02,722,Kaisa,1,NORMAL
12:04,724,Ekko,1,NORMAL
12:37,757,Leona,2,NORMAL
12:38,759,Renekton,4,NORMAL
12:46,766,Viktor,1,EVOLVE
12:48,769,Kaisa,1,EVOLVE
12:55,776,Sylas,3,NORMAL
13:08,789,Seraphine,3,NORMAL
13:39,820,Nasus,2,NORMAL
13:59,839,Kaisa,3,NORMAL
14:03,843,Leona,3,NORMAL
14:05,846,Darius,3,NORMAL
14:07,848,Jhin,1,NORMAL
14:14,854,Sylas,4,NORMAL
14:19,859,Ekko,3,NORMAL
14:42,882,Viktor,4,NORMAL
14:44,885,Renekton,3,NORMAL
15:14,915,Leona,2,NORMAL
15:25,925,Sylas,3,NORMAL
15:44,945,Kaisa,4,NORMAL
15:51,952,Darius,4,NORMAL
15:55,956,Jhin,2,NORMAL
16:08,969,Nasus,4,NORMAL
16:09,969,Ekko,4,NORMAL
16:17,977,Renekton,3,NORMAL
16:17,978,Seraphine,3,NORMAL
16:18,978,Kaisa,3,EVOLVE
16:52,1012,Viktor,1,NORMAL
17:05,1025,Sylas,3,NORMAL
17:39,1059,Jhin,4,NORMAL
17:54,1075,Nasus,2,NORMAL
17:59,1079,Viktor,2,EVOLVE
18:11,1092,Kaisa,3,NORMAL
18:24,1105,Seraphine,1,NORMAL
18:27,1107,Ekko,3,NORMAL
18:41,1122,Renekton,2,NORMAL
18:48,1129,Leona,1,NORMAL
19:20,1160,Sylas,1,NORMAL
19:47,1188,Darius,3,NORMAL
19:54,1194,Kaisa,3,NORMAL
20:00,1200,Viktor,1,NORMAL
20:13,1214,Jhin,2,NORMAL
20:27,1227,Seraphine,3,NORMAL
20:40,1240,Darius,3,NORMAL
20:51,1252,Kaisa,2,EVOLVE
21:00,1261,Nasus,2,NORMAL
21:01,1261,Ekko,3,NORMAL
21:04,1264,Viktor,4,EVOLVE
21:21,1281,Sylas,1,NORMAL
21:32,1293,Renekton,2,NORMAL
21:39,1299,Leona,4,NORMAL
22:03,1324,Seraphine,4,NORMAL
22:06,1326,Jhin,2,NORMAL
22:40,1360,Kaisa,2,NORMAL
22:40,1361,Ekko,2,NORMAL
23:01,1381,Leona,3,NORMAL
23:14,1395,Kaisa,2,NORMAL
23:16,1396,Viktor,2,NORMAL
23:32,1412,Darius,2,NORMAL
23:53,1434,Renekton,4,NORMAL
23:56,1436,Seraphine,3,NORMAL
