minute,clock,blue_gold,red_gold,diff_blue_minus_red
0,00:00,2500,2500,0
1,01:00,2505,2500,5
2,02:00,3752,4808,-1056
3,03:00,5328,6522,-1194
4,04:00,7813,8835,-1022
5,05:00,9053,10098,-1045
6,06:00,11297,12022,-725
7,07:00,13605,13425,180
8,08:00,14966,14885,81
9,09:00,17317,16459,858
10,10:00,19214,18019,1195
11,11:00,21021,20360,661
12,12:00,23838,21955,1883
13,13:00,25938,23662,2276
14,14:00,28778,25474,3304
15,15:00,30780,27907,2873
16,16:00,33864,29297,4567
17,17:00,36366,31326,5040
18,18:00,37890,32994,4896
19,19:00,40671,35520,5151
20,20:00,43069,37042,6027
21,21:00,45721,40985,4736
22,22:00,48094,42634,5460
23,23:00,51261,46743,4518
24,24:00,53465,48938,4527
25,25:00,54871,52132,2739
26,26:00,56171,56194,-23
27,27:00,57450,58873,-1423
28,28:00,59232,61059,-1827
29,29:00,61912,65143,-3231
30,30:00,65206,66661,-1455
31,31:00,67811,68032,-221
32,32:00,70767,72580,-1813
32,32:18,72918,72884,34
