clock,t_s,action,wardType,by
00:33,33,PLACED,YELLOW_TRINKET,Nasus
00:34,34,PLACED,YELLOW_TRINKET,Kaisa
00:40,40,PLACED,YELLOW_TRINKET,Ekko
01:00,61,PLACED,YELLOW_TRINKET,Seraphine
01:12,73,PLACED,YELLOW_TRINKET,Jhin
01:14,74,PLACED,YELLOW_TRINKET,Leona
02:30,150,PLACED,YELLOW_TRINKET,Renekton
03:03,183,PLACED,YELLOW_TRINKET,Seraphine
03:07,187,PLACED,YELLOW_TRINKET,Leona
03:07,188,PLACED,YELLOW_TRINKET,Ekko
03:16,196,PLACED,YELLOW_TRINKET,Sylas
03:19,199,PLACED,YELLOW_TRINKET,Sylas
04:43,283,PLACED,YELLOW_TRINKET,Darius
04:49,289,PLACED,YELLOW_TRINKET,Jhin
05:07,307,PLACED,UNDEFINED,Jhin
05:17,317,PLACED,YELLOW_TRINKET,Renekton
05:39,340,PLACED,UNDEFINED,Jhin
06:11,372,PLACED,UNDEFINED,Jhin
06:18,379,PLACED,UNDEFINED,Jhin
06:47,408,PLACED,YELLOW_TRINKET,Seraphine
06:47,408,PLACED,YELLOW_TRINKET,Renekton
06:56,417,PLACED,YELLOW_TRINKET,Kaisa
07:05,426,PLACED,UNDEFINED,Jhin
07:06,426,PLACED,YELLOW_TRINKET,Jhin
07:18,438,PLACED,UNDEFINED,Jhin
07:32,452,PLACED,UNDEFINED,Jhin
07:34,454,PLACED,YELLOW_TRINKET,Ekko
07:35,455,PLACED,YELLOW_TRINKET,Nasus
07:43,463,PLACED,YELLOW_TRINKET,Viktor
07:55,476,PLACED,SIGHT_WARD,Leona
08:12,492,PLACED,SIGHT_WARD,Seraphine
08:12,493,PLACED,UNDEFINED,Jhin
08:37,517,KILLED,SIGHT_WARD,Leona
08:41,521,PLACED,YELLOW_TRINKET,Nasus
09:30,571,PLACED,SIGHT_WARD,Seraphine
09:34,574,PLACED,SIGHT_WARD,Seraphine
09:41,582,PLACED,YELLOW_TRINKET,Renekton
09:41,582,PLACED,SIGHT_WARD,Seraphine
09:42,582,PLACED,SIGHT_WARD,Leona
10:04,604,PLACED,YELLOW_TRINKET,Jhin
10:06,606,PLACED,UNDEFINED,Jhin
10:11,612,PLACED,UNDEFINED,Jhin
10:19,619,PLACED,CONTROL_WARD,Sylas
10:30,631,PLACED,UNDEFINED,Jhin
10:57,657,PLACED,YELLOW_TRINKET,Jhin
11:08,669,PLACED,SIGHT_WARD,Leona
11:13,673,PLACED,SIGHT_WARD,Seraphine
11:15,675,PLACED,SIGHT_WARD,Seraphine
11:15,675,PLACED,YELLOW_TRINKET,Ekko
11:17,678,PLACED,YELLOW_TRINKET,Kaisa
11:18,679,KILLED,SIGHT_WARD,Leona
11:21,682,PLACED,SIGHT_WARD,Seraphine
11:32,692,PLACED,UNDEFINED,Jhin
11:38,699,PLACED,CONTROL_WARD,Seraphine
11:39,700,PLACED,UNDEFINED,Jhin
12:00,720,KILLED,CONTROL_WARD,Sylas
12:16,737,PLACED,YELLOW_TRINKET,Viktor
12:18,739,PLACED,YELLOW_TRINKET,Kaisa
12:22,743,PLACED,SIGHT_WARD,Seraphine
12:32,752,KILLED,YELLOW_TRINKET,Jhin
12:33,753,PLACED,UNDEFINED,Jhin
12:35,755,PLACED,UNDEFINED,Jhin
12:35,756,KILLED,SIGHT_WARD,Leona
12:39,759,PLACED,SIGHT_WARD,Leona
12:46,766,PLACED,SIGHT_WARD,Seraphine
12:52,773,PLACED,YELLOW_TRINKET,Ekko
12:56,777,PLACED,SIGHT_WARD,Leona
12:57,777,PLACED,YELLOW_TRINKET,Jhin
12:58,778,PLACED,UNDEFINED,Jhin
13:01,782,PLACED,CONTROL_WARD,Sylas
13:18,798,PLACED,SIGHT_WARD,Leona
13:55,835,PLACED,UNDEFINED,Jhin
13:56,836,PLACED,CONTROL_WARD,Seraphine
13:58,839,PLACED,SIGHT_WARD,Seraphine
14:02,842,PLACED,UNDEFINED,Jhin
14:03,843,KILLED,SIGHT_WARD,Seraphine
14:04,844,KILLED,CONTROL_WARD,Jhin
14:07,848,PLACED,YELLOW_TRINKET,Kaisa
14:08,848,PLACED,SIGHT_WARD,Leona
14:19,859,PLACED,YELLOW_TRINKET,Viktor
14:24,864,KILLED,CONTROL_WARD,Leona
14:27,868,PLACED,SIGHT_WARD,Leona
14:42,883,PLACED,SIGHT_WARD,Seraphine
14:46,886,PLACED,UNDEFINED,Jhin
14:51,891,PLACED,SIGHT_WARD,Leona
14:53,893,PLACED,SIGHT_WARD,Leona
14:53,894,PLACED,UNDEFINED,Jhin
15:00,900,KILLED,SIGHT_WARD,Nasus
15:03,903,PLACED,YELLOW_TRINKET,Jhin
15:28,929,PLACED,SIGHT_WARD,Seraphine
15:36,937,PLACED,YELLOW_TRINKET,Darius
15:40,940,PLACED,UNDEFINED,Jhin
15:49,949,PLACED,SIGHT_WARD,Seraphine
16:00,960,PLACED,YELLOW_TRINKET,Renekton
16:10,971,PLACED,BLUE_TRINKET,Viktor
16:22,982,PLACED,YELLOW_TRINKET,Renekton
16:25,985,PLACED,SIGHT_WARD,Leona
16:26,986,PLACED,SIGHT_WARD,Seraphine
16:28,989,PLACED,YELLOW_TRINKET,Ekko
16:29,990,KILLED,SIGHT_WARD,Sylas
16:30,990,KILLED,SIGHT_WARD,Seraphine
16:48,1008,KILLED,YELLOW_TRINKET,Kaisa
16:57,1018,PLACED,UNDEFINED,Jhin
17:17,1037,PLACED,SIGHT_WARD,Seraphine
17:20,1040,PLACED,SIGHT_WARD,Leona
17:36,1057,PLACED,SIGHT_WARD,Seraphine
17:40,1061,PLACED,YELLOW_TRINKET,Kaisa
17:56,1077,PLACED,UNDEFINED,Jhin
17:56,1077,PLACED,CONTROL_WARD,Leona
17:59,1079,PLACED,UNDEFINED,Jhin
18:01,1081,PLACED,SIGHT_WARD,Seraphine
18:15,1095,PLACED,SIGHT_WARD,Seraphine
18:24,1104,PLACED,YELLOW_TRINKET,Jhin
18:25,1105,PLACED,CONTROL_WARD,Sylas
18:28,1108,PLACED,UNDEFINED,Jhin
18:40,1120,PLACED,YELLOW_TRINKET,Jhin
18:41,1121,PLACED,UNDEFINED,Jhin
18:53,1133,KILLED,SIGHT_WARD,Leona
18:54,1135,KILLED,YELLOW_TRINKET,Darius
19:01,1142,PLACED,YELLOW_TRINKET,Renekton
19:04,1145,PLACED,YELLOW_TRINKET,Kaisa
19:13,1154,PLACED,UNDEFINED,Jhin
19:26,1167,PLACED,SIGHT_WARD,Seraphine
